# M_center  P_simulated  P_Ising_theoretical
-1.219999999999999751e+00 4.054069521624610872e-01 4.190422391539231906e-01
-1.179999999999999938e+00 4.269037143906310727e-01 4.263213141470804102e-01
-1.140000000000000124e+00 4.327613794124036684e-01 4.290326213592901006e-01
-1.100000000000000089e+00 4.459612599906374042e-01 4.276805968774653466e-01
-1.060000000000000053e+00 4.455684150973399649e-01 4.228444511821785601e-01
-1.020000000000000018e+00 4.293765116752895072e-01 4.151318808978552433e-01
-9.799999999999999822e-01 4.311761186694426096e-01 4.051423014709095716e-01
-9.399999999999999467e-01 4.124311020459610622e-01 3.934399811022268323e-01
-8.999999999999999112e-01 4.064467607880919986e-01 3.805363612930446338e-01
-8.599999999999998757e-01 3.781834029258779872e-01 3.668802137912419159e-01
-8.199999999999998401e-01 3.842780627552631056e-01 3.528540172253814000e-01
-7.799999999999998046e-01 3.379063150691815065e-01 3.387749325830998193e-01
-7.399999999999997691e-01 3.215619140501954076e-01 3.248989154464176354e-01
-6.999999999999997335e-01 3.230132738003426707e-01 3.114267441182473339e-01
-6.599999999999999201e-01 2.861515429820269962e-01 2.985110085110521672e-01
-6.200000000000001066e-01 2.400750563580503760e-01 2.862633577794327921e-01
-5.800000000000000711e-01 2.488752791048926549e-01 2.747615247766775903e-01
-5.400000000000000355e-01 2.792874806108827657e-01 2.640558242141924361e-01
-5.000000000000000000e-01 2.580348309281161323e-01 2.541749584803509876e-01
-4.599999999999999645e-01 2.221283166002947507e-01 2.451310645039810054e-01
-4.199999999999999289e-01 2.207760516542460194e-01 2.369240029714119455e-01
-3.799999999999998934e-01 2.098738559050984664e-01 2.295449342590948905e-01
-3.399999999999998579e-01 1.919392260308901421e-01 2.229792498280090962e-01
-2.999999999999998224e-01 2.088487463775333397e-01 2.172089388561757595e-01
-2.599999999999997868e-01 2.305165428591405830e-01 2.122144718401630381e-01
-2.199999999999997513e-01 2.154402137305176379e-01 2.079762790483104806e-01
-1.799999999999999378e-01 2.075424273178255175e-01 2.044758944466263939e-01
-1.400000000000001243e-01 2.232805247414311189e-01 2.016968267049422114e-01
-1.000000000000000888e-01 1.995056510555117124e-01 1.996252092182985438e-01
-6.000000000000005329e-02 1.825153778150106210e-01 1.982502714102310215e-01
-2.000000000000001776e-02 2.013248835719332330e-01 1.975646642724783186e-01
